序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
621,2023-09-01 09:16:05,0 km/h,47.4 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,正北(0),"118.155633,24.48001",2243658.0,厦门市思明区洪莲中路42号店面
731,2023-09-01 09:33:04,0 km/h,50.2 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
732,2023-09-01 09:33:34,0 km/h,50.2 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
873,2023-09-01 10:00:31,0 km/h,53.17 km,0秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
874,2023-09-01 10:01:00,0 km/h,53.17 km,29秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
875,2023-09-01 10:01:30,0 km/h,53.17 km,59秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
991,2023-09-01 10:20:30,0 km/h,58.71 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171656,24.506569",876123.0,厦门市湖里区仙岳路3777号 弘爱医院康复楼12楼
993,2023-09-01 10:21:00,0 km/h,58.72 km,0秒 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
994,2023-09-01 10:21:30,0 km/h,58.72 km,30秒 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
995,2023-09-01 10:22:00,0 km/h,58.72 km,1分 / 1分,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171598,24.506673",978080.0,厦门市湖里区仙岳路3773号B106室
